REGION,OS,PROTOCOL,X_1,X_2,X_3,X_4,X_5,X_6,X_7,MALICIOUS_OFFENSE
North America,Windows,HTTP,24,0,15,10,130,179,109,0
Africa,Linux,HTTP,6,4,5,6,119,179,92,0
South America,Linux,HTTP,47,7,3,5,142,204,103,0
Africa,Linux,HTTP,36,2,1,0,62,174,103,0
Asia,Linux,HTTP,4,6,2,7,14,179,103,0
North America,Linux,HTTP,50,0,7,1,29,200,98,0
Asia,Linux,HTTP,3,3,5,6,29,128,103,0
Asia,Linux,HTTP,49,6,8,3,80,71,112,0
South America,Linux,HTTP,30,7,6,4,142,158,103,0
Asia,Linux,HTTP,46,3,6,4,29,158,103,0
South America,Linux,HTTP,38,10,3,5,142,200,72,0
South America,Linux,HTTP,45,10,3,5,142,179,116,0
North America,Linux,HTTP,24,0,8,3,142,328,72,0
Africa,Linux,HTTP,6,4,6,4,142,43,98,0
Africa,Linux,HTTP,40,2,3,5,142,263,112,0
South America,Linux,HTTP,45,10,5,6,29,104,103,0
Africa,Linux,HTTP,36,2,4,2,0,174,103,0
Asia,Linux,HTTP,4,6,5,6,93,179,72,0
North America,Linux,HTTP,24,0,4,2,130,21,13,0
North America,Linux,HTTP,37,0,3,5,130,179,98,0
South America,Windows,HTTP,47,7,15,10,93,174,112,0
Africa,Windows,HTTP,36,2,15,10,93,174,92,0
Asia,Linux,HTTP,49,6,4,2,29,21,103,0
Asia,Windows,HTTP,4,6,15,10,80,263,72,0
North America,Linux,HTTP,37,0,4,2,29,268,103,0
South America,Windows,HTTP,19,1,11,17,111,76,103,0
Asia,Linux,HTTP,35,3,4,2,130,21,34,0
